key,value
symbol,BBRI.JK
company_name,PT Bank Rakyat Indonesia (Persero) Tbk
industry,Banks
sub_industry,Banks
sector,Financials
sub_sector,Banks
market_cap,585169305189300
address,"Gedung BRI I Jl. Jenderal Sudirman Kav.44-46, Jakarta Pusat 10210"
employee_num,59495
listing_date,2003-11-10
listing_board,Main
website,www.bri.co.id
phone,021 - 575 1966
email,humas@bri.co.id; corsec@bri.co.id
last_close_price,3900
daily_close_change,0.00775193798449612
latest_close_date,2025-11-14
market_cap_rank,7
employee_num_rank,4
